Dataset,Config,Accuracy,FeatureTime,TrainTime,PredTime,TotalTime,NumKernels,NumDilations,FeatureDim
Blood-Cells,mean_s,0.31833333333333336,8.277081727981567,0.06625699996948242,0.0009307861328125,8.344269514083862,84,15,1260
Blood-Cells,only_few_dilations,0.8566666666666667,8.374216079711914,0.04651927947998047,0.0009279251098632812,8.421663284301758,84,15,1260
EuroSAT,full,0.555,7.454437255859375,0.045197486877441406,0.001013040542602539,7.500647783279419,84,15,1260
EuroSAT,only_iso,0.5216666666666666,2.217071056365967,0.010266304016113281,0.0004742145538330078,2.227811574935913,84,5,420
EuroSAT,only_aniso,0.5283333333333333,5.333296060562134,0.023403644561767578,0.0010266304016113281,5.357726335525513,84,10,840
EuroSAT,half_kernels,0.5183333333333333,4.568515300750732,0.020634174346923828,0.0011029243469238281,4.59025239944458,42,15,630
EuroSAT,quarter_kernels,0.53,2.337642192840576,0.011012792587280273,0.0004477500915527344,2.349102735519409,21,15,315
EuroSAT,zero_bias,0.1,10.146560668945312,0.050853729248046875,0.0027070045471191406,10.200121402740479,84,15,1260
EuroSAT,random_bias,0.10333333333333333,8.376351833343506,0.050894975662231445,0.0008985996246337891,8.428145408630371,84,15,1260
EuroSAT,mean_s,0.265,8.171371698379517,0.05000877380371094,0.000934600830078125,8.222315073013306,84,15,1260
EuroSAT,only_few_dilations,0.5066666666666667,8.362865686416626,0.05078125,0.0024275779724121094,8.416074514389038,84,15,1260
EMNIST,full,0.685,1.5872936248779297,0.06273889541625977,0.0010600090026855469,1.651092529296875,84,15,1260
EMNIST,only_iso,0.725,0.45308518409729004,0.014150381088256836,0.0005593299865722656,0.46779489517211914,84,5,420
EMNIST,only_aniso,0.65,1.0722436904907227,0.028169870376586914,0.0008080005645751953,1.1012215614318848,84,10,840
EMNIST,half_kernels,0.695,0.7247591018676758,0.020182371139526367,0.0011005401611328125,0.746042013168335,42,15,630
EMNIST,quarter_kernels,0.6833333333333333,0.36255598068237305,0.011908292770385742,0.0005795955657958984,0.3750438690185547,21,15,315
EMNIST,zero_bias,0.7333333333333333,1.4227702617645264,0.057598114013671875,0.0012328624725341797,1.4816012382507324,84,15,1260
EMNIST,random_bias,0.6583333333333333,1.414947748184204,0.05250811576843262,0.0010192394256591797,1.468475103378296,84,15,1260
EMNIST,mean_s,0.465,1.4711453914642334,0.05197405815124512,0.001253366470336914,1.5243728160858154,84,15,1260
EMNIST,only_few_dilations,0.6966666666666667,1.425232172012329,0.05191230773925781,0.0010333061218261719,1.478177785873413,84,15,1260
